"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2021 год"	"202112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"735 566"
"Численность населения на начало периода(Человек)"	"2015 год"	"201512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"736 560"
"Численность населения на начало периода(Человек)"	"2011 год"	"201112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"733 281"
"Численность населения на начало периода(Человек)"	"2016 год"	"201612"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"744 420"
"Численность населения на начало периода(Человек)"	"2010 год"	"201012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"735 134"
"Численность населения на начало периода(Человек)"	"2012 год"	"201212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"731 399"
"Численность населения на начало периода(Человек)"	"2013 год"	"201312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"732 768"
"Численность населения на начало периода(Человек)"	"2014 год"	"201412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"735 612"
"Численность населения на начало периода(Человек)"	"2025 год"	"202512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"787 263"
"Численность населения на начало периода(Человек)"	"2017 год"	"201712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"348 692"
"Численность населения на начало периода(Человек)"	"2004 год"	"200412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"349 153"
"Численность населения на начало периода(Человек)"	"2003 год"	"200312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"346 306"
"Численность населения на начало периода(Человек)"	"2007 год"	"200712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"358 270"
"Численность населения на начало периода(Человек)"	"2002 год"	"200212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"347 955"
"Численность населения на начало периода(Человек)"	"2005 год"	"200512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"352 204"
